"","Year","2.5%","mean","97.5%","se_mean","n_eff","Rhat"
"mu[165]",1812,1087253.13994848,1093781.4788798,1100887.75273217,25.1568521312002,18525.0467170303,1.00067667102713
"mu[166]",1813,1096688.41329378,1103150.51994492,1110191.44353721,23.8910702311289,19962.6153746724,1.00065886959936
"mu[167]",1814,1103357.39490776,1108992.04644565,1115652.23583286,22.934108653677,18139.1822375295,1.00076480672358
"mu[168]",1815,1117819.38700528,1121759.41853539,1127562.55385045,20.7950552426531,13505.0402038574,1.0010903625857
"mu[169]",1816,1134296.26849067,1139798.57208531,1145712.18067277,15.059353014409,36099.1698118974,1.00028706078669
"mu[170]",1817,1152124.58080661,1158224.35845937,1164420.17497733,10.6855493552754,83174.5566656247,1.00004159379072
"mu[171]",1818,1169153.24635099,1175267.44116136,1181414.40840143,9.42835817489201,106506.792362505,1.00001617542517
"mu[172]",1819,1181940.48640351,1187560.28878899,1193107.88453302,11.1193781231271,64026.6302280358,1.00018856205914
"mu[173]",1820,1197635.61477319,1202759.76917216,1206656.29051048,17.3595508817056,16590.3569098567,1.00088597420888
"mu[174]",1821,1219451.16034479,1225525.2363037,1231302.79303623,17.2343709579614,30139.2821367865,1.00047552315276
"mu[175]",1822,1228561.29616865,1235071.19967424,1241612.33639913,17.292990952667,36063.6967401017,1.0004432052159
"mu[176]",1823,1249351.24944148,1256063.60013653,1262688.04555978,18.2504610677675,33742.709177425,1.00046223329589
"mu[177]",1824,1263679.61221962,1269908.25625385,1275730.89191284,18.2794446985836,27372.5736903345,1.00063967342524
"mu[178]",1825,1280677.33644219,1286168.1447015,1290146.76589778,18.6307159212983,15669.3461495705,1.00105236543156
"mu[179]",1826,1296221.44488661,1302342.8034005,1308171.45639765,13.2998767830623,50852.4638227302,1.00019257209114
"mu[180]",1827,1315003.76387367,1321758.45538609,1328296.24423856,11.7143916134855,81525.8253562255,1.00009675203162
"mu[181]",1828,1336364.68874974,1343255.24861481,1349926.55859933,14.1917901903731,58023.0162587401,1.00023016454241
"mu[182]",1829,1352630.12280921,1358850.98815329,1365011.56405534,15.6426553436117,39652.4503214057,1.00026996663386
"mu[183]",1830,1368867.46146629,1373278.94905443,1378823.4222641,19.2658433240101,15933.1977089094,1.00090333142531
"mu[184]",1831,1376729.52182147,1382968.43928856,1389252.04635261,16.798594568685,35184.4001418652,1.00033842575921
"mu[185]",1832,1376904.5628431,1383624.90369966,1390345.0033511,10.9775691377273,95220.501749754,1.00005720463284
"mu[186]",1833,1355064.30352193,1362260.02129069,1369652.07268711,19.7490200692454,34837.7057646647,1.00019254708499
"mu[187]",1834,1373622.19142478,1379815.92031767,1386020.02574753,13.4211062235716,53719.8899279766,1.00012399927071
"mu[188]",1835,1387703.878866,1392850.67827482,1397107.62992132,13.3266178853967,29064.1071494025,1.00047269066759
"mu[189]",1836,1385508.31501474,1391815.40399336,1398226.17999892,17.2900071258211,34326.0379860422,1.00031161350301
"mu[190]",1837,1389854.76344003,1396997.78187665,1404442.75632508,20.661536393056,31618.4758668702,1.00034126149942
"mu[191]",1838,1402849.62651338,1409913.40314647,1417241.38601999,18.2492909198959,39556.5380195836,1.00028012731037
"mu[192]",1839,1421921.28971883,1428057.28095847,1434475.75997558,13.2773894456583,56423.3781506442,1.0001627519385
"mu[193]",1840,1441491.324579,1445947.70697258,1450988.23426666,10.4976341651911,46473.7072693175,1.00025582463016
"mu[194]",1841,1458293.5674908,1464351.11251245,1470638.75587831,11.5933097161215,71988.568957184,1.00009457443851
"mu[195]",1842,1479672.50093275,1486542.32186225,1493488.39982722,12.0311619750723,83722.8442224428,1.0000463885024
"mu[196]",1843,1499719.86208605,1506666.05221861,1513675.5987746,12.258648464318,82004.5979281502,1.00008464167824
"mu[197]",1844,1521336.38047969,1527468.26806859,1533835.711501,12.3743320240433,64349.3414076876,1.00022049767834
"mu[198]",1845,1544353.55318028,1548557.82948105,1553839.57806748,13.3633658650764,29393.9969366894,1.00049144951456
"mu[199]",1846,1555204.25930385,1561428.25730957,1567843.3148312,11.0525431600047,82285.5091164021,1.00014337507092
"mu[200]",1847,1572018.62575209,1579113.4246231,1586244.49885784,10.1713380764699,122880.522701021,1.00003392488994
"mu[201]",1848,1592348.79180826,1599457.11011131,1606611.87377898,9.25671628466831,149303.304641381,1.0000021138604
"mu[202]",1849,1614005.65716124,1620555.37485229,1627010.57688779,8.81687737457211,137252.64873199,1.00005333430219
"mu[203]",1850,1630629.86955909,1636449.60628799,1641445.5397232,9.29748439830974,76037.2537472799,1.00018340810667
